Account,ShareOfChargesLOC,ShareOfFXLOC
ABD130316,77.46,-25.52
ABD130316,77.46,-25.52
ABD132484,104.23,255.17
ABD135827,105.71,81.41
ABD135827,105.71,81.41
ABD133243,99.46,2.42
ABD133177,16.4,2.43
ABD133177,16.4,2.43
ABD131955,27.34,7.29
ABD131955,27.34,7.29
ABD132725,105.71,98.42
ABD132725,105.71,98.42
ABD130075,23.87,86.27
ABD133265,183.65,155.74
ABD133265,183.65,155.74
ABD130493,27.34,12.15
ABD130493,27.34,12.15
ABD130899,27.23,85.91
ABD130899,27.23,85.91
ABD134266,23.97,30.5
ABD131944,37.03,-31.46
ABD131944,37.03,-31.46
ABD133429,26.96,14.38
ABD133429,26.96,14.38
ABD136224,290.4,272.25
ABD135300,64.33,15.8
ABD130855,53.18,121
ABD131911,194.28,27.95
ABD131724,143.76,38.34
ABD131724,143.76,38.34
ABD130624,260.62,1501.74
ABD130624,260.62,1501.74
ABD133748,23.58,38.4
ABD134518,105.09,192.39
ABD130965,72.9,27.95
ABD130965,72.9,27.95
ABD134640,73.86,-5.99
ABD134640,73.86,-5.99
ABD130514,23.97,70.76
ABD134695,57.86,70.68
ABD134695,57.86,70.68
ABD131362,179.7,373.78
ABD131362,179.7,373.78
ABD134507,87.33,10.78
ABD134507,87.33,10.78
ABD132505,27.34,18.23
ABD132505,27.34,18.23
ABD137313,178.61,144.59
ABD137313,178.61,144.59
ABD133254,58.22,2.4
ABD133254,58.22,2.4
ABD135597,106.14,226.92
ABD130723,40.99,47.58
ABD136718,105.27,640.09
ABD136718,105.27,640.09
ABD130482,0,47.39
ABD131878,72.9,47.39
ABD131878,72.9,47.39
ABD131317,105.96,406.26
ABD132495,64.07,50.82
ABD134079,146.22,-87.84
ABD132077,165.5,43.13
ABD132077,165.5,43.13
ABD130536,89.12,-52.03
ABD131218,46.85,124.44
ABD131878,125.79,26.36
ABD131878,125.79,26.36
ABD130558,94.59,-7.29
ABD132813,0,19.52
ABD134222,104.23,204.86
ABD133243,127,39.04
ABD136510,64.39,26.75
ABD130800,25.7,37.67
ABD130800,25.7,37.67
ABD133584,150.05,5.99
ABD133584,150.05,5.99
