Account,ShareOfChargesLOC,ShareOfFXLOC
ABD137434,189.7,36.48
ABD132978,0,81.74
ABD130383,76.77,0
ABD130383,76.77,0
ABD130998,131.22,-19.2
ABD130855,65.77,67.09
ABD130855,65.77,67.09
ABD131955,23.58,58.8
ABD135971,66.7,8.51
ABD133089,211.41,-119.07
ABD130404,23.97,56.12
ABD130691,23.97,124.44
ABD130262,73.2,81.74
ABD131362,176.47,697.24
ABD131362,176.47,697.24
ABD135773,23.58,255.6
ABD130866,105.27,99.22
ABD133265,58.68,23.09
ABD133265,58.68,23.09
ABD130031,63.16,55.66
ABD131241,88.39,139.15
ABD134552,73.51,14.52
ABD134552,73.51,14.52
ABD134826,91.13,17.01
ABD135773,0,54.45
ABD135739,23.87,14.58
ABD131362,169.52,532.4
ABD130558,64.33,49.82
ABD133034,27.23,52.03
ABD133034,27.23,52.03
ABD134518,98.48,8.39
ABD134518,98.48,8.39
ABD131098,21.78,1500.4
ABD130536,23.97,31.72
ABD130196,63.16,50.82
ABD130196,63.16,50.82
ABD134727,95.68,-31.59
ABD133979,179.7,107.82
ABD133979,179.7,107.82
ABD133209,58.44,39.93
ABD133209,58.44,39.93
ABD130822,23.78,6.05
ABD130701,23.78,37.51
ABD135322,23.58,24
ABD136345,262.63,1513.71
ABD136345,262.63,1513.71
ABD131362,58.14,92.4
ABD133528,48.88,-28.75
ABD133528,48.88,-28.75
ABD130800,99.46,148.83
ABD130646,81.9,-54
ABD130866,73.81,9.72
ABD130866,73.81,9.72
ABD134563,63.43,2.4
ABD134563,63.43,2.4
ABD132583,72.9,85.05
ABD131373,104.05,134.18
ABD131373,104.05,134.18
ABD131823,58.68,31.59
ABD131823,58.68,31.59
ABD132099,25.7,269.73
ABD132099,25.7,269.73
ABD130691,87.33,74.28
ABD130691,87.33,74.28
ABD136400,64.07,70.18
ABD130800,71.7,41.93
ABD130800,71.7,41.93
ABD136224,143.76,23.96
ABD136224,143.76,23.96
ABD130415,780.27,536.03
ABD132109,260.44,1500.53
ABD132109,260.44,1500.53
ABD130668,71.7,57.5
ABD130668,71.7,57.5
ABD133979,27.34,172.53
ABD133979,27.34,172.53
ABD133506,41.15,50.32
ABD133506,41.15,50.32
ABD137049,26.96,51.51
ABD137049,26.96,51.51
ABD132538,104.05,277.94
ABD132538,104.05,277.94
ABD131108,74.18,23.09
ABD130097,90.93,3.59
ABD130097,90.93,3.59
ABD137148,73.14,13.18
ABD137148,73.14,13.18
ABD130217,48.1,2.42
ABD130217,48.1,2.42
ABD131197,23.97,59.78
ABD133528,0,24.2
ABD134574,63.43,19.17
ABD134574,63.43,19.17
ABD133100,51.97,-6.1
ABD130262,92.22,0
ABD132901,105.09,405.35
ABD134684,143.76,288.72
ABD134684,143.76,288.72
ABD134815,73.2,4.88
ABD132505,74.18,6.08
ABD132505,74.18,6.08
ABD131746,105.09,41.14
ABD130558,123.45,59.9
ABD130558,123.45,59.9
ABD137577,99.46,7.26
ABD133243,0,319.55
ABD133243,0,319.55
ABD130383,47.76,90.28
ABD132253,261.28,1514.27
ABD132253,261.28,1514.27
ABD134408,99.46,4.84
ABD134408,99.46,4.84
ABD134332,71.88,31.15
ABD134332,71.88,31.15
ABD130833,27.85,11.98
ABD130833,27.85,11.98
ABD133243,26.96,46.72
ABD133243,26.96,46.72
ABD133913,23.78,9.68
ABD130558,25.7,26.73
ABD130558,25.7,26.73
ABD130404,57.72,9.68
ABD130558,27.34,26.73
ABD130558,27.34,26.73
ABD136411,104.05,71.88
ABD136411,104.05,71.88
ABD131560,29.34,8.51
ABD131560,29.34,8.51
ABD132484,23.97,64.66
ABD132967,67.03,112.61
ABD132967,67.03,112.61
ABD136949,644.8,414.32
ABD132516,23.97,69.54
ABD133968,123.45,10.78
ABD133968,123.45,10.78
ABD130691,23.87,89.91
ABD130570,47.01,555.39
ABD130570,47.01,555.39
ABD131889,42.28,26.73
ABD131108,0,6.08
ABD130558,71.88,51.51
ABD132000,317.17,389.35
ABD132000,317.17,389.35
ABD132758,61.78,46.17
ABD132758,61.78,46.17
ABD134464,214.74,134.18
ABD134464,214.74,134.18
ABD131713,72.9,63.18
ABD131713,72.9,63.18
ABD132505,26.96,51.51
ABD132505,26.96,51.51
ABD130262,88.39,114.95
ABD132538,57.24,45.6
ABD132660,26.96,53.91
ABD132660,26.96,53.91
ABD131263,72.9,97.2
ABD132495,23.87,18.23
ABD130118,80.55,-61.97
ABD131999,71.88,46.72
ABD131999,71.88,46.72
ABD133386,32.08,71.69
ABD133386,32.08,71.69
ABD134189,88.76,110.57
ABD134804,125.79,15.57
ABD134804,125.79,15.57
ABD130075,102.97,151.88
ABD132792,88.57,758.16
ABD132792,88.57,758.16
ABD135465,233.61,180.9
ABD135465,233.61,180.9
ABD134123,104.05,67.09
ABD134123,104.05,67.09
ABD130196,94.41,20.66
ABD131373,72.6,58.08
ABD130239,345.36,379.08
ABD132275,63.43,19.17
ABD132275,63.43,19.17
ABD132550,93.96,-13.2
ABD131933,0,-13.37
ABD131933,0,-13.37
ABD130163,27.34,55.89
ABD133748,607.94,262.66
ABD134068,47.58,41.48
ABD133254,104.86,3.66
ABD134266,262.9,1515.47
ABD134266,262.9,1515.47
ABD136291,0,19.52
ABD133584,116.7,-4.84
ABD131757,0,117.12
ABD137292,23.97,45.14
ABD134123,23.97,18.3
ABD130459,90.03,-7.19
ABD130459,90.03,-7.19
ABD131603,37.21,176.66
ABD131603,37.21,176.66
ABD133968,320.05,537.9
ABD133968,320.05,537.9
ABD131999,70.79,0
ABD132758,123.45,77.87
ABD132758,123.45,77.87
ABD134123,88.76,120.29
ABD130239,74.72,13.37
ABD130031,136.13,169.4
ABD131681,126.69,-32.67
ABD132220,72.96,26.36
ABD132220,72.96,26.36
ABD134684,182.25,161.6
ABD134684,182.25,161.6
ABD134057,105.09,37.51
ABD131449,26.96,718.8
ABD131449,26.96,718.8
ABD134518,105.27,258.94
ABD131670,357.37,442.86
ABD134585,169.27,148.35
ABD132231,144.2,21.96
ABD130833,27.23,26.62
ABD133100,26.96,62.3
ABD133100,26.96,62.3
ABD131658,37.56,-23.96
ABD131658,37.56,-23.96
ABD132154,87.33,450.45
ABD132154,87.33,450.45
ABD130459,16.4,10.94
ABD130459,16.4,10.94
ABD132231,306.93,274.34
ABD132231,306.93,274.34
ABD131890,135,79.2
ABD130932,88.76,68.04
ABD130932,88.76,68.04
ABD130404,99.87,2.43
ABD131878,104.23,162.93
ABD131878,104.23,162.93
ABD130723,26.96,26.36
ABD133726,39.17,94.64
ABD133726,39.17,94.64
ABD131735,27.23,323.07
ABD135607,88.76,436.19
ABD131878,23.87,165.24
ABD130262,16.42,1.22
ABD135641,32.17,8.39
ABD135641,32.17,8.39
ABD131856,68.83,0
ABD131856,68.83,0
ABD132220,77.27,-20.66
ABD132220,77.27,-20.66
ABD132484,72,13.2
ABD130668,87.33,271.95
ABD130668,87.33,271.95
ABD136400,36.45,2.43
ABD136400,36.45,2.43
ABD134530,143.76,13.18
ABD134530,143.76,13.18
ABD136994,98.64,3.6
ABD133946,105.71,70.47
ABD133946,105.71,70.47
ABD134123,72.9,35.24
ABD134123,72.9,35.24
ABD133584,138.55,9.58
ABD133584,138.55,9.58
ABD137050,0,194.4
ABD130493,0,116.64
ABD130493,0,116.64
ABD132143,592.83,530.71
ABD132143,592.83,530.71
ABD134541,82.76,3.63
ABD133265,71.33,228.69
ABD134321,0,0
ABD134321,0,0
ABD134387,26.96,35.94
ABD134387,26.96,35.94
ABD137335,105.52,408.24
ABD137335,105.52,408.24
ABD131384,88.76,68.04
ABD130668,127.05,27.83
ABD130888,263.36,1527.02
ABD135597,387.46,15.8
ABD134826,125.21,99.63
ABD131966,93.11,81.07
ABD131966,93.11,81.07
ABD135191,150.17,131.22
ABD134332,181.5,381.15
ABD134332,181.5,381.15
ABD136950,105.96,395.28
ABD130240,104.05,75.47
ABD130240,104.05,75.47
ABD133429,26.96,110.22
ABD133429,26.96,110.22
ABD131087,23.89,24.32
ABD136301,48.5,0
ABD130932,88.76,52.25
ABD130932,88.76,52.25
ABD131449,26.96,720
ABD132802,70.98,191.68
ABD132802,70.98,191.68
ABD132154,105.27,67.76
ABD130646,72.6,48.4
ABD133704,84.22,7.26
ABD136103,79.83,-7.29
ABD132109,172.41,754.52
ABD132374,91.13,44.96
ABD132747,0,16.94
ABD134189,26.96,7.19
ABD134189,26.96,7.19
ABD131878,90.93,4.79
ABD131878,90.93,4.79
ABD133881,76.91,-3.65
ABD133881,76.91,-3.65
ABD134804,143.76,34.74
ABD134804,143.76,34.74
ABD130581,72.6,1.2
ABD130581,72.6,1.2
ABD136037,88.76,57.11
ABD136037,88.76,57.11
ABD130558,71.7,67.09
ABD130558,71.7,67.09
ABD135717,26.96,106.62
ABD135717,26.96,106.62
ABD130592,93.68,8.51
ABD130592,93.68,8.51
ABD131108,89.67,132.98
ABD131108,89.67,132.98
ABD131197,64.33,32.81
ABD130437,74.66,4.88
ABD130932,23.97,20.74
ABD131878,23.97,51.24
ABD134101,0,17.97
ABD134101,0,17.97
ABD132495,27.23,26.62
ABD132495,27.23,26.62
ABD130723,72,81.6
ABD132725,90.02,630.41
ABD132725,90.02,630.41
ABD132561,117.47,-7.3
ABD134310,143.76,109.02
ABD134310,143.76,109.02
ABD134585,143.43,-27.95
ABD130350,26.96,55.11
ABD130350,26.96,55.11
ABD131328,93.68,47.39
ABD135047,23.87,154.31
ABD137236,136.32,-9.72
ABD137236,136.32,-9.72
ABD132714,70.17,232.07
ABD134617,117.16,195.27
ABD134617,117.16,195.27
ABD130075,87.33,46.72
ABD130075,87.33,46.72
ABD132121,108.17,82.28
ABD130932,105.96,63.44
ABD132286,26.96,19.17
ABD132286,26.96,19.17
ABD131373,72.9,48.6
ABD131373,72.9,48.6
ABD131999,71.7,22.76
ABD131999,71.7,22.76
ABD130163,182.25,171.32
ABD130163,182.25,171.32
ABD131900,89.12,62.22
ABD130855,95.29,7.26
ABD134596,105.71,352.35
ABD134596,105.71,352.35
ABD131922,90.21,-11.98
ABD131922,90.21,-11.98
ABD130239,26.96,34.74
ABD130239,26.96,34.74
ABD132363,131.72,156.94
ABD132363,131.72,156.94
ABD131175,26.96,37.14
ABD131175,26.96,37.14
ABD137292,105.96,100.04
ABD134596,105.09,388.41
ABD134123,72.6,27.83
ABD132286,23.78,10.89
ABD131098,309.46,88.33
ABD130646,23.97,103.7
ABD130570,91.66,-3.63
ABD130657,73.51,16.94
ABD130657,73.51,16.94
ABD136543,87.66,152.4
ABD132626,203.6,179.7
ABD132626,203.6,179.7
ABD130206,27.23,18.15
ABD130206,27.23,18.15
ABD130701,27.23,37.51
ABD130701,27.23,37.51
ABD134408,72.9,160.38
ABD132231,1507.75,1242.95
ABD131119,99.87,7.29
ABD136224,145.2,54.45
ABD130613,125.21,14.58
ABD130613,125.21,14.58
ABD132583,96.44,-21.96
ABD131713,96.44,-6.1
ABD130273,65.52,-2.42
ABD130888,90.57,318.23
ABD132583,96.99,0
ABD136949,88.39,52.03
ABD136949,88.39,52.03
ABD130822,64.07,42.35
ABD130822,64.07,42.35
ABD134091,26.96,38.34
ABD134091,26.96,38.34
ABD132220,72.6,96.8
ABD130932,23.87,46.17
ABD131625,91.13,114.21
ABD131625,91.13,114.21
ABD130932,26.96,37.14
ABD130932,26.96,37.14
ABD134398,98.48,7.19
ABD134398,98.48,7.19
ABD130581,130.64,-62.3
ABD130581,130.64,-62.3
ABD132550,26.96,50.32
ABD132550,26.96,50.32
ABD130646,88.76,47.39
ABD136729,9.16,-64.69
ABD136729,9.16,-64.69
ABD132660,164.03,162.81
ABD130734,0,116.64
ABD130734,0,116.64
ABD130646,125.21,18.23
ABD130646,125.21,18.23
ABD130921,80.55,-14.58
ABD134068,87.33,166.52
ABD134068,87.33,166.52
ABD134585,138.51,-52.25
ABD134585,138.51,-52.25
ABD130811,64.52,-20.66
ABD134321,0,0
ABD134321,0,0
ABD132055,262.63,1531.86
ABD132055,262.63,1531.86
ABD130349,82.4,10.89
ABD131812,74.23,6.05
ABD132495,75.03,4.88
ABD134408,27.23,166.98
ABD134408,27.23,166.98
ABD135366,26.96,21.56
ABD135366,26.96,21.56
ABD131713,106.14,76.86
ABD132428,80.95,30.25
ABD132428,80.95,30.25
ABD135191,90,10.8
ABD134716,25.7,1.22
ABD134716,25.7,1.22
ABD134288,115.01,-16.77
ABD134288,115.01,-16.77
ABD133375,64.07,45.98
ABD133375,64.07,45.98
ABD131263,32.31,264.99
ABD131263,32.31,264.99
ABD130206,105.71,94.77
ABD134651,87.33,190.48
ABD134651,87.33,190.48
ABD131483,71.7,57.5
ABD131483,71.7,57.5
ABD130822,26.96,97.04
ABD130822,26.96,97.04
ABD132550,181.5,227.48
ABD133429,23.87,17.01
ABD133133,88.39,71.39
ABD135553,23.87,38.88
ABD131669,23.97,18.3
ABD130800,27.23,64.13
ABD130493,83.85,100.43
ABD131878,123.45,10.78
ABD131878,123.45,10.78
ABD130680,277.93,208.98
ABD130680,277.93,208.98
ABD131373,88.57,61.97
ABD131373,88.57,61.97
ABD136840,27.23,37.51
ABD136840,27.23,37.51
ABD134529,23.78,55.66
ABD130415,23.97,23.18
ABD130855,72.96,17.97
ABD130855,72.96,17.97
ABD132990,23.97,14.64
ABD136576,709.5,472.64
ABD130305,105.71,31.59
ABD134123,72.9,48.6
ABD134123,72.9,48.6
ABD132912,104.4,94.8
ABD131735,87.33,29.95
ABD131735,87.33,29.95
ABD130866,16.17,9.58
ABD130866,16.17,9.58
ABD134585,142.34,-25.52
ABD131977,94.68,26.4
ABD132495,26.96,10.78
ABD132495,26.96,10.78
ABD130185,168.9,-20.67
ABD131757,105.52,782.46
ABD131757,105.52,782.46
ABD136125,117.7,166.52
ABD136125,117.7,166.52
ABD134585,132.86,-26.62
ABD131043,104.05,63.49
ABD131043,104.05,63.49
ABD131548,91.13,167.67
ABD131548,91.13,167.67
ABD132143,328.31,293.51
ABD132143,328.31,293.51
ABD130569,136.49,222.64
ABD130569,136.49,222.64
ABD134408,104.05,318.67
ABD134408,104.05,318.67
ABD133429,82.58,-2.42
ABD130965,137.21,87.12
ABD132484,89.12,47.58
ABD132550,44.1,3.66
ABD130932,23.97,34.16
ABD130031,51.55,16.94
ABD131779,72.6,96.8
ABD136972,83.81,-65.88
ABD130822,72.9,51.03
ABD130822,72.9,51.03
ABD132109,265.42,1556.2
ABD132109,265.42,1556.2
ABD131560,46.36,200.07
ABD131560,46.36,200.07
ABD132792,88.76,756.95
ABD132792,88.76,756.95
ABD134464,264.88,1534.64
ABD134464,264.88,1534.64
ABD137379,0,81.07
ABD130855,0,20.66
ABD130932,23.89,21.89
ABD131021,23.87,38.88
ABD130327,71.08,3.65
ABD131373,26.96,38.34
ABD131373,26.96,38.34
ABD132110,23.78,67.76
ABD132747,174.67,829.02
ABD132747,174.67,829.02
ABD130899,23.78,137.94
ABD130536,23.87,128.79
ABD134310,90.75,6.05
ABD134222,143.76,22.76
ABD134222,143.76,22.76
ABD130459,126.82,56.12
ABD134464,90,4.8
ABD133474,72.6,52.03
ABD133474,72.6,52.03
ABD130558,72.6,19.36
ABD133913,0,35.24
ABD132011,106.14,207.4
ABD131911,180,133.2
ABD130855,49.19,1.21
ABD132879,93.49,76.55
ABD132879,93.49,76.55
ABD131571,25.7,69.26
ABD131571,25.7,69.26
ABD132758,23.78,37.51
ABD131944,27.34,7.29
ABD131944,27.34,7.29
ABD134343,90.75,33.88
ABD133265,72.29,246.44
ABD134585,134.85,27.83
ABD134585,134.85,27.83
ABD136510,23.78,38.72
ABD130415,88.39,279.51
ABD131867,105.09,108.9
ABD130943,26.96,148.55
ABD130943,26.96,148.55
ABD131373,0,13.37
ABD131373,0,13.37
ABD132802,103.69,-11.98
ABD132802,103.69,-11.98
ABD130118,105.52,789.75
ABD130998,23.87,86.27
ABD131834,80.74,24.3
ABD131834,80.74,24.3
ABD130383,33.6,243.19
ABD130383,33.6,243.19
ABD134727,62.04,1.22
ABD132440,134.14,1023.03
ABD132440,134.14,1023.03
ABD132758,27.23,66.55
ABD134727,274.61,198.44
ABD132462,53.76,40.1
ABD132462,53.76,40.1
ABD133243,106.14,129.32
ABD130295,635.25,649.77
ABD130316,90.57,-11.98
ABD130316,90.57,-11.98
ABD131713,71.7,52.71
ABD131713,71.7,52.71
ABD130558,26.96,38.34
ABD130558,26.96,38.34
ABD134112,105.71,1242.95
ABD132978,94.02,50.82
ABD133265,256.2,480.68
ABD130888,112.53,56.87
ABD131537,71.7,38.34
ABD131537,71.7,38.34
ABD132495,401.32,74.42
ABD132220,51.03,9.72
ABD133836,269.55,135.37
ABD133836,269.55,135.37
ABD137324,73.51,-10.89
ABD137324,73.51,-10.89
ABD134134,104.05,31.15
ABD134134,104.05,31.15
ABD133243,26.96,170.12
ABD133243,26.96,170.12
ABD130602,143.76,430.08
ABD130602,143.76,430.08
ABD133375,64.07,59.29
ABD131373,64.39,27.97
ABD133232,72.1,-67.1
ABD133892,73.32,-3.59
ABD133892,73.32,-3.59
ABD130822,71.7,34.74
ABD130822,71.7,34.74
ABD135003,23.78,141.57
ABD134101,800.08,489.65
ABD137302,26.96,131.78
ABD137302,26.96,131.78
ABD136114,104.05,132.98
ABD136114,104.05,132.98
ABD132406,59.05,1116.59
ABD134035,149.15,10.78
ABD134035,149.15,10.78
ABD136598,145.2,191.18
ABD134178,83.85,100.43
ABD134178,83.85,100.43
ABD131373,105.71,94.77
ABD130800,64.07,29.04
ABD131779,71.88,9.58
ABD131779,71.88,9.58
ABD130899,170.59,459.27
ABD132505,100.28,25.62
ABD130536,23.87,24.3
ABD135322,87.33,119.8
ABD135322,87.33,119.8
ABD132626,71.7,267.15
ABD132626,71.7,267.15
ABD134464,179.7,61.1
ABD134464,179.7,61.1
ABD133737,419.18,493.29
ABD134804,181.5,38.72
ABD134804,181.5,38.72
ABD130767,74.23,4.84
ABD130822,26.96,37.14
ABD130822,26.96,37.14
ABD132484,71.7,76.67
ABD132484,71.7,76.67
ABD133265,58.68,20.66
ABD133265,58.68,20.66
ABD130404,25.7,57.11
ABD130404,25.7,57.11
ABD132550,98.48,2.4
ABD132550,98.48,2.4
ABD134815,16.4,18.23
ABD134815,16.4,18.23
ABD134310,32.53,161.73
ABD134310,32.53,161.73
ABD134925,71.7,238.4
ABD134925,71.7,238.4
ABD130064,32.67,1.21
ABD133584,167.52,256.52
ABD130558,23.89,24.32
ABD131845,87.33,46.72
ABD131845,87.33,46.72
ABD134804,91.13,7.29
ABD134804,91.13,7.29
ABD130536,91.11,-13.18
ABD130536,91.11,-13.18
ABD131263,88.95,81.46
ABD131263,88.95,81.46
ABD130349,88.39,151.25
ABD130316,42.48,31.2
ABD131537,72,43.2
ABD133353,74.05,14.52
ABD135816,16.34,8.47
ABD135816,16.34,8.47
ABD130811,63.79,81.41
ABD133661,70.42,0
ABD130745,143.76,247.99
ABD130745,143.76,247.99
ABD134233,23.87,18.23
ABD134552,26.96,34.74
ABD134552,26.96,34.74
ABD130680,275.48,9.58
ABD130680,275.48,9.58
ABD134387,67.57,-7.19
ABD134387,67.57,-7.19
ABD132231,592.83,530.71
ABD132231,592.83,530.71
ABD137313,127.05,14.52
ABD134123,104.05,63.49
ABD134123,104.05,63.49
ABD130262,144.02,6.1
ABD130855,168.8,156.09
ABD130888,95.29,95.59
ABD134893,76.37,-20.37
ABD134893,76.37,-20.37
ABD130921,23.78,38.72
ABD132747,181.5,43.56
ABD132747,181.5,43.56
ABD133320,254.1,1490.72
ABD136730,0,64.4
ABD136730,0,64.4
ABD130624,145.74,-83.49
ABD130459,161.01,26.36
ABD130459,161.01,26.36
ABD132154,262.72,1540.63
ABD132154,262.72,1540.63
ABD135795,0,154.88
ABD132626,0,53.24
ABD131032,90.75,8.47
ABD131065,181.5,127.05
ABD131065,181.5,127.05
ABD136301,48.5,0
ABD131119,166.58,478
ABD131119,166.58,478
ABD135168,181.5,47.19
ABD135597,25.7,150.66
ABD135597,25.7,150.66
ABD132978,117.19,57.11
ABD132978,117.19,57.11
ABD134585,144.71,-13.37
ABD130712,26.96,61.1
ABD130712,26.96,61.1
ABD132495,23.58,45.6
ABD136169,84.28,137.77
ABD136169,84.28,137.77
ABD130657,574.68,515.14
ABD130657,574.68,515.14
ABD130668,88.76,241.79
ABD134002,65.16,19.36
ABD133232,0,54.68
ABD132758,105.27,298.87
ABD135728,71.7,45.52
ABD135728,71.7,45.52
ABD131021,0,58.56
ABD134925,23.78,33.88
ABD131197,88.76,3.65
ABD131197,88.76,3.65
ABD130558,103.87,119.8
ABD130558,103.87,119.8
ABD130822,87.33,37.14
ABD130822,87.33,37.14
ABD130404,91.85,4.86
ABD130404,91.85,4.86
ABD133870,89.85,8.39
ABD133870,89.85,8.39
ABD131944,90.75,45.98
ABD131944,90.75,45.98
ABD134772,104.05,517.54
ABD134772,104.05,517.54
ABD132550,59.48,-7.19
ABD132550,59.48,-7.19
ABD133375,104.05,152.15
ABD133375,104.05,152.15
ABD132879,58.44,9.68
ABD131373,89.12,47.58
ABD132846,72.1,358.68
ABD134574,88.76,47.39
ABD131119,88.76,27.95
ABD131119,88.76,27.95
ABD130921,63.24,4.86
ABD130921,63.24,4.86
ABD133090,82.48,126.99
ABD133090,82.48,126.99
ABD137269,146.28,63.49
ABD137269,146.28,63.49
ABD130273,27.34,12.15
ABD130273,27.34,12.15
ABD133737,23.87,25.52
ABD130822,23.78,10.89
ABD133704,43.31,-2.4
ABD133704,43.31,-2.4
ABD133924,26.96,67.09
ABD133924,26.96,67.09
ABD132549,76.73,-5.99
ABD132549,76.73,-5.99
ABD131537,0,22.8
ABD131504,82.04,-13.31
ABD134002,266.14,1192.01
ABD134002,266.14,1192.01
ABD131120,99.46,2.42
ABD136653,127.92,20.74
ABD130239,0,57.6
ABD130899,26.96,23.96
ABD130899,26.96,23.96
ABD131449,73.32,22.76
ABD131449,73.32,22.76
ABD133892,69.26,31.59
ABD133892,69.26,31.59
ABD133232,105.71,195.62
ABD131845,94.04,2.43
ABD131845,94.04,2.43
ABD131681,0,12.15
ABD130855,95.68,-14.58
ABD131229,80.33,-2.4
ABD131229,80.33,-2.4
ABD133858,179.7,507.95
ABD133858,179.7,507.95
ABD133924,71.7,58.7
ABD133924,71.7,58.7
ABD130855,83.81,-59.78
ABD130262,355.63,-45.52
ABD130262,355.63,-45.52
ABD132747,74.23,-2.42
ABD134123,0,20.57
ABD132561,93.8,-32.35
ABD132561,93.8,-32.35
ABD136400,36.3,4.79
ABD136400,36.3,4.79
ABD137478,0,61.2
ABD132604,105.09,401.72
ABD134310,298.75,162.14
ABD134123,75.65,-9.58
ABD134123,75.65,-9.58
ABD135135,71.88,38.34
ABD136884,105.09,400.51
ABD132044,143.76,89.85
ABD132044,143.76,89.85
ABD130800,105.71,164.03
ABD131373,72.6,48.4
ABD131373,72.6,48.4
ABD136554,23.87,14.58
ABD135508,105.09,590.48
ABD135508,105.09,590.48
ABD133496,124.69,20.57
ABD133496,124.69,20.57
ABD131010,156.27,67.76
ABD131010,156.27,67.76
ABD130680,146.4,67.1
ABD132725,118.52,-7.26
ABD136620,98.48,83.86
ABD136620,98.48,83.86
ABD131955,74.18,2.43
ABD131955,74.18,2.43
ABD131207,0,61.71
ABD134123,108.54,-4.79
ABD134123,108.54,-4.79
ABD130086,26.96,83.86
ABD130086,26.96,83.86
ABD134585,144.16,-17.01
ABD136213,809.19,174.96
ABD136213,809.19,174.96
ABD134639,33.42,194.08
ABD134639,33.42,194.08
ABD135421,154.73,952.56
ABD135421,154.73,952.56
ABD136301,105.27,308.55
ABD136301,105.27,308.55
ABD131670,136.69,71.69
ABD132109,265.96,1247.12
ABD132109,265.96,1247.12
ABD130558,127.05,26.62
ABD130558,127.05,26.62
ABD131658,71.15,2.42
ABD131658,71.15,2.42
ABD131108,92.04,182.25
ABD131108,92.04,182.25
ABD133979,253.08,1485.6
ABD131735,26.96,26.36
ABD131735,26.96,26.36
ABD131054,27.34,7.29
ABD131054,27.34,7.29
ABD131098,718.8,67.09
ABD131098,718.8,67.09
ABD130734,27.85,56.31
ABD130734,27.85,56.31
ABD130866,136.69,102.06
ABD130866,136.69,102.06
ABD131779,0,42.35
ABD134541,23.87,35.24
ABD134266,74.18,18.23
ABD134178,72.6,53.24
ABD132561,34.49,199.65
ABD131175,106.14,101.26
ABD136400,105.77,100.04
ABD134617,105.71,63.18
ABD134617,105.71,63.18
ABD131944,187.79,73.08
ABD131944,187.79,73.08
ABD133968,172.33,34.74
ABD133968,172.33,34.74
ABD132550,72.96,-5.99
ABD132550,72.96,-5.99
ABD133683,90.75,8.47
ABD133243,136.57,-29.95
ABD133243,136.57,-29.95
ABD130217,258.76,1509.14
ABD130415,265.96,1556.2
ABD130415,265.96,1556.2
ABD130987,82.56,748.44
ABD130987,82.56,748.44
ABD133573,26.96,131.78
ABD133573,26.96,131.78
ABD136949,27.23,210.54
ABD134332,72.9,30.38
ABD134529,87.33,176.11
ABD134529,87.33,176.11
ABD130570,539.06,367.84
ABD131274,105.27,387.2
ABD131274,105.27,387.2
ABD132187,74.36,13.37
ABD130514,145.2,15.73
ABD131384,99.46,1.21
ABD134453,26.96,67.09
ABD134453,26.96,67.09
ABD130691,26.96,128.19
ABD130691,26.96,128.19
ABD132297,26.96,10.78
ABD132297,26.96,10.78
ABD133067,273.6,44.99
ABD132978,93.68,66.83
ABD132978,93.68,66.83
ABD133979,87.33,80.27
ABD133979,87.33,80.27
ABD136499,26.96,7.19
ABD136499,26.96,7.19
ABD131009,23.78,22.99
ABD130657,35.94,-15.57
ABD130657,35.94,-15.57
ABD135849,146.52,33.6
ABD134606,177.9,737.97
ABD134606,177.9,737.97
ABD135915,773.37,529.98
ABD130635,23.78,50.82
ABD131845,138.12,30.25
ABD134826,148.97,670.88
ABD134826,148.97,670.88
ABD136466,781.31,535.82
ABD136466,781.31,535.82
ABD134529,156.86,82.69
ABD131285,91.2,68.1
ABD131878,23.97,3.66
ABD131197,72.9,42.53
ABD131197,72.9,42.53
ABD132231,51.97,2.44
ABD131021,26.96,14.38
ABD131021,26.96,14.38
ABD131010,65.77,82.66
ABD131010,65.77,82.66
ABD134727,54.81,-3.59
ABD134727,54.81,-3.59
ABD130987,143.76,94.64
ABD130987,143.76,94.64
ABD134903,0,58.32
ABD134903,0,58.32
ABD132220,53.76,64.4
ABD137380,25.7,69.26
ABD131252,64.33,74.12
ABD130536,87.51,22.76
ABD131351,91.11,15.73
ABD131351,91.11,15.73
ABD133265,58.68,6.08
ABD133265,58.68,6.08
ABD136433,73.51,18.15
ABD131845,88.39,22.99
ABD131845,88.39,22.99
ABD132626,105.27,385.99
ABD132626,105.27,385.99
ABD136345,266.67,1537.03
ABD136345,266.67,1537.03
ABD134639,90.75,20.57
ABD134639,90.75,20.57
ABD131812,91.13,9.72
ABD131812,91.13,9.72
ABD136433,105.71,202.91
ABD136433,105.71,202.91
ABD132725,64.6,35.38
ABD132011,0,153.67
ABD134585,139.06,121.5
ABD134585,139.06,121.5
ABD132802,89.12,130.01
ABD132802,89.12,130.01
ABD136949,59.66,52.71
ABD136949,59.66,52.71
ABD136224,45.2,241.79
ABD136224,45.2,241.79
ABD136257,74.42,36.3
ABD133980,130.32,-27.83
ABD130635,37.74,76.67
ABD130635,37.74,76.67
ABD132220,51.91,4.84
ABD133946,64.33,51.03
ABD133946,64.33,51.03
ABD131504,23.87,122.72
ABD131779,68.61,208.12
ABD135508,23.87,51.03
ABD132660,104.05,185.69
ABD132660,104.05,185.69
ABD133111,105.71,74.12
ABD130822,64.33,14.58
ABD130646,136.67,30.25
ABD131559,37.73,18.23
ABD131559,37.73,18.23
ABD136785,26.96,63.49
ABD136785,26.96,63.49
ABD132505,25.7,37.67
